symbol,time,price,upperBand,lowerBand,bandWidth,rsi,upperSlope,realSlope,lowerSlope,upperI,realI,lowerI,action
SHOP,2020-05-13 00:52:12.691713,754.4600219726562,763.1872705700184,616.9811376331065,0.4122290563594194,76.6564258383005,2.165990188548501,5.335524373979711,15.241636928551554,761.185933829411,719.0725434716069,421.6471200327478,not in portfolio
NFLX,2020-05-13 00:52:17.713778,437.1868896484375,442.65379350705757,414.10220014528613,0.09010374324414659,62.105262859107086,-1.2617992464206083,0.6723883329932371,4.222709576666353,452.3160979689066,434.9266876676189,385.2136881894131,hold
BABA,2020-05-13 00:52:22.872262,202.02259826660156,206.4780561958401,191.58194136275364,0.11865536834814816,18.093669889334876,0.009727989901379738,1.3917148647023674,0.16570483589882096,215.27659085933422,196.16119703605995,190.34179714297596,hold
UNH,2020-05-13 00:52:28.561057,290.9223937988281,292.650106641389,284.46837480392344,0.0778401883907232,41.89741721874504,-0.7768923486669429,0.5564812048157649,2.1000327805407735,303.39549592519126,286.5183296772971,263.354158497398,hold
DAL,2020-05-13 00:52:35.794041,21.235000610351562,26.03249855753753,20.02450141194489,0.2658420668602754,42.8926677079115,-0.02734850081440783,0.01395531554720298,-0.0819574617054517,26.37951691516755,21.689925208020565,20.590639740215206,hold
SQ,2020-05-13 00:52:40.701624,76.31500244140625,77.12665756919677,61.72834349891846,0.3548902374231236,83.47439340865503,1.2922600144138907,0.8638808976358444,-0.3416031121575959,68.97794071584583,71.57813513456885,55.5553199029049,not in portfolio
BMY,2020-05-13 00:52:45.485738,63.80500030517578,62.959543120032755,59.82399722420552,0.06837123046071565,37.746533963468195,0.057314808339688994,0.45343270942346375,0.12887924713215987,62.75253258396708,60.6673886882725,58.52262422855843,hold
JPM,2020-05-13 00:52:50.043758,88.44999694824219,96.31727645310143,88.40572311965248,0.11759110012962112,19.60483417138093,-0.5741054987412536,-0.3776117011682311,0.11934411317943855,100.48640436812518,91.57731093221635,86.01032778000261,hold
PFE,2020-05-13 00:52:54.905684,37.599998474121094,38.26586330322514,37.010674019772914,0.10149426553294268,15.485815221859795,0.0027048875652061475,0.0400000045548624,0.14769586346328134,38.81313481047135,37.48999888861358,34.28268545420261,hold
NVAX,2020-05-13 00:52:59.338638,40.25,31.027874552926157,10.67812482146349,0.962479981392079,54.267241651190524,1.0128782284911522,3.245597227295833,-0.5702811922717965,21.546648808005646,14.661827656760147,16.101429267801837,hold
T,2020-05-13 00:53:04.039605,29.020000457763672,30.83292760862578,28.569072437150588,0.0963224283300733,21.958492670312936,-0.02044620834957694,0.03956693677759883,-0.04762692770962967,31.576305542143835,29.06361252514284,28.81033904900261,not in portfolio
BAC,2020-05-13 00:53:10.972173,22.260000228881836,24.249782876663225,21.970217199630717,0.14981267018912453,27.23933400704979,-0.08295441815613169,-0.05999999259834858,0.010006642728157624,24.96775827026741,22.890000101345688,21.0324955238191,hold
ATVI,2020-05-13 00:53:17.721898,73.43000030517578,75.92953284435832,63.36446663684287,0.2046017770277975,49.0871161338039,0.5896697618931018,0.2559699442849231,0.15016021534169574,71.42474244661655,72.8832841560022,60.10895143633988,hold
UAL,2020-05-13 00:53:24.472642,23.049999237060547,29.599108939735892,21.379891151816842,0.3895576633520806,42.264289023602956,-0.16299058723789078,0.0371642183901659,-0.18460642677650996,32.76019935299424,23.511940173248746,22.44647209703711,hold
ABBV,2020-05-13 00:53:31.409802,91.27999877929688,88.94621679345175,80.81378229102091,0.11456483986221823,53.87859533111405,0.30568009407123026,1.0262685177931143,0.14393629541687492,85.89304248469355,83.68044747879257,78.72146607298194,hold
AAPL,2020-05-13 00:53:39.389523,315.59539794921875,315.11945806943095,285.05020745791285,0.1842311062055243,71.77990765083477,2.372700664584166,2.62248389400653,-0.03731806069686043,301.1531550464912,301.3647233194379,263.7849678764916,hold
W,2020-05-13 00:53:46.763345,188.00999450683594,201.16691392255592,118.93308760332296,1.10956682691536,72.6442384019858,5.606538928643796,1.6834327356139225,0.7462074028700187,170.83325207742905,180.09238809614038,53.02765957372678,not in portfolio
DXCM,2020-05-13 00:53:54.502822,415.75,422.406647466162,328.1093437447755,0.43184071687319453,61.24428547214484,6.580487134373447,6.674926302326261,1.7808330423916452,381.90425504565013,384.0081982968459,259.7734472631186,hold
BA,2020-05-13 00:54:01.720321,127.02999877929688,139.45574889306855,122.57525238866972,0.22298168742013488,27.614514914664312,-0.8925427340784338,0.39432878636602153,-0.15159147995272554,154.31527090826376,126.87387927610483,120.52850554409963,hold
BLK,2020-05-13 00:54:09.740370,454.9100036621094,511.1567299039844,467.2792747346875,0.13818358003476136,25.562446843228386,0.5880363449465704,-4.003433910768424,1.1497839074292384,512.0675685062406,496.72761421772975,442.65413732616946,buy
VXX,2020-05-13 00:54:27.720322,34.369998931884766,41.18731103630851,33.47968801764657,0.33778678083188374,23.956634415024382,0.13372564925655223,-0.8760448000324307,-0.49828532956897925,45.327086557445206,38.17492556216112,35.79297994012978,hold
GILD,2020-05-13 00:54:36.765176,78.87999725341797,83.11835691792538,76.62764222758244,0.1189572438260745,34.04482653208436,-0.07350347517577555,0.4317162357159515,0.29390646890464084,84.65548201934045,77.24119453999533,73.19218848737889,hold
ROKU,2020-05-13 00:54:45.059004,127.79000091552734,134.79599562468226,116.04800309357948,0.1801489420233698,60.207695772791354,-0.9920225966316556,-0.22985099678608908,3.06992564957373,141.95570635949085,130.97358157029794,95.39396416453697,hold
MRK,2020-05-13 00:54:52.882090,77.66000366210938,79.82259126228752,75.64540953116952,0.12612745542681275,47.187714335656864,-0.041456447270797094,0.25291095562835236,-0.240812048431235,85.1811376583982,76.22985133840078,76.04341365349326,not in portfolio
TWLO,2020-05-13 00:55:00.803913,191.6699981689453,192.2357469419737,90.29625531632709,0.9595155334372255,88.70044612690366,9.108392858335389,8.564328435641618,-3.8976688788978584,129.07201075479688,146.25388153987143,86.27736227977996,not in portfolio
WFC,2020-05-13 00:55:09.595411,24.46500015258789,28.5938932074598,23.913277278990392,0.19588273812670473,3.9358895576843764,-0.3620265046327188,-0.1206715854246225,0.011103964224256144,31.363235291198745,25.33888065281199,24.042141629928345,hold
IBM,2020-05-13 00:55:17.776541,121.70999908447266,125.14867683919586,119.29733451334322,0.10413664633599946,7.960406732812487,0.08051712090117195,0.08880541217860893,0.06452564584068106,126.65701869627348,121.77134454072412,114.15627241500364,hold
CVS,2020-05-13 00:55:26.539115,63.41999816894531,63.819534071854356,59.634446183272594,0.08616842456886714,38.01293073653144,0.08826378379425409,0.4888745208284748,0.12866050494120776,63.79006684091595,61.07689108777402,58.35826887498999,hold
CRM,2020-05-13 00:55:35.286594,178.9626007080078,180.13413478011006,154.7958578956712,0.2152481132753945,64.65216489267453,2.163193037904194,2.6029402320064716,-0.7387874246739583,166.00434035452403,166.93356300467875,148.78070161397815,hold
EQIX,2020-05-13 00:55:44.654158,666.4600219726562,685.2525159871643,668.7234849893982,0.0485941303012792,54.03542285865621,-0.6412548012699644,-1.8507449021979943,0.7577992913440105,700.5491396621953,681.6120906089668,660.5189364003629,hold
TGT,2020-05-13 00:55:52.943747,120.0999984741211,119.34094539633914,107.9770553971179,0.14997164564921187,70.93817951545921,0.747583807884254,1.2679100036621094,-0.004501584874546009,114.52258738749266,113.05985260009766,103.07238221107819,hold
DKNG,2020-05-13 00:56:00.998177,27.420000076293945,26.07025720638903,18.776502589753548,0.6246972465318624,43.21183985810316,0.4492407157675791,0.5108207446425709,0.15249807875847876,23.202918657175907,23.099701838706856,12.886812937877693,already in portfolio
FISV,2020-05-13 00:56:09.609655,101.19999694824219,106.56728998008118,100.2107114237274,0.16955554503874604,60.318865111566915,0.308230119562307,-0.9267903797662078,0.028143013171847937,106.75658697090951,106.69201318541569,91.08686916075517,hold
CCL,2020-05-13 00:56:17.935013,13.329999923706055,15.920736583762524,12.416863552040697,0.4005334422141032,48.56558224794751,0.03417105951398538,0.0568657561914245,0.06984387021473612,15.758327808458937,13.389775859775828,10.211530566065534,hold
NOW,2020-05-13 00:56:26.743959,369.44000244140625,389.6706966327663,333.50731240043683,0.41833065795827956,65.99533578551579,4.574220794499772,0.5240287211403918,1.075443580463791,372.3958472743603,374.04672104565066,254.17109467300733,hold
JNJ,2020-05-13 00:56:34.777912,148.17999267578125,150.06527472925833,147.53472221898383,0.06359436358571148,29.77721708490479,-0.40285105442793906,0.1108948437135611,0.7901718433665484,157.48658273346345,148.0214921182661,141.08511717762562,hold
BKNG,2020-05-13 00:56:43.269453,1402.6199951171875,1493.477429458281,1371.2545773776567,0.12367495557862399,46.51869717383273,-0.13059619052306182,-0.45022901848180963,0.29566877681040316,1505.1245643658126,1414.714645157999,1326.9602367871146,hold
PDD,2020-05-13 00:56:52.073890,58.61000061035156,56.441217447696545,44.39278218609252,0.29181710215395207,58.232922036499716,0.42613370550261176,1.3764925145391211,0.37309016587080696,53.57064601480608,49.62582050152679,40.27272640987472,hold
MRNA,2020-05-13 00:57:00.818652,62.356998443603516,63.42494805970013,42.73905264220417,0.5210037233878103,54.37210580949693,0.8940981274370206,2.4821044295581425,0.808813790406016,57.64449764914217,51.179507469063374,31.970288510316287,hold
IIVI,2020-05-13 00:57:09.019038,44.685001373291016,40.40688296779739,29.95511730686081,0.5049733195866628,68.3931688009215,0.6732678238433077,1.3910451860570197,-0.11941702359953198,35.328221159673014,33.1400740893919,25.396696596592655,hold
MA,2020-05-13 00:57:17.598080,275.989990234375,283.61901324394466,268.6229911505866,0.17230872012741866,46.02121611535469,0.9527726219402813,0.4419396243878266,-0.22698884399164998,283.69005368025773,276.8765705165578,244.45175656326356,hold
MARK,2020-05-13 00:57:26.437399,1.9700000286102295,1.7248017333963532,0.23319824705332348,2.6491706271082656,70.33320907690538,0.12202958079091857,0.17880597621647282,-0.05869376071473766,0.7823382962849164,0.8513432527655986,0.17272139686830867,not in portfolio
INO,2020-05-13 00:57:34.815155,12.999799728393555,13.136202739173605,9.833796955650612,0.7198145621050683,51.41677132721276,0.01585662200689575,0.3911939663673515,0.20572544909815035,15.035556618439488,10.288656718695341,5.780413423774975,hold
DIS,2020-05-13 00:57:42.736922,106.01339721679688,111.05609717166908,100.8479021569442,0.12416797002316661,51.370530314605965,0.20024894282240263,0.618357985766966,0.012788365827831143,109.90833609092181,104.15059684639547,97.94455870633217,hold
UBER,2020-05-13 00:57:50.391736,32.997798919677734,33.15967769426677,27.180322458321122,0.2495392694188733,65.26854584685503,0.3237883082722585,0.5742535377616313,-0.04843757959675878,30.917617485820458,29.62708994167954,25.943300727184038,hold
AMD,2020-05-13 00:57:58.452370,54.66999816894531,55.128486598285335,50.55033343955647,0.14849002070918513,45.14194662130516,-0.09747587005045734,0.576940223352233,0.306662429699112,58.869655671545885,51.926567191508276,48.70382201942129,hold
PYPL,2020-05-13 00:58:06.641654,142.89999389648438,147.5711535025361,116.96484961025688,0.39906860012810164,78.42328591689409,2.533872554063903,1.3215687310517725,-0.2710365247834265,132.76078841428165,137.58260926203943,99.36577070373302,not in portfolio
